id,rating_agency_name,file_creating_date,issued_paid,rating,rating_action_date,rating_action_class,obligor_sec_category,obligor_name,Ticker
1236,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB+,8/26/2010,HS,Corporate,HollyFrontier Corp,HOLX
1237,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/25/2018,WO,Corporate,Hologic Inc,HMC
1238,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB+,8/26/2015,UP,Corporate,Hologic Inc,HMC
1239,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB-,8/31/2012,DG,Corporate,Hologic Inc,HMC
1240,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,5/12/2010,HS,Corporate,Hologic Inc,HMC
1243,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,12/24/2015,WO,Corporate,Honda Motor Co Ltd,HON
1244,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,2/15/2012,DG,Corporate,Honda Motor Co Ltd,HON
1245,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A+,9/9/2010,HS,Corporate,Honda Motor Co Ltd,HON
1246,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,2/14/2011,UP,Corporate,Honeywell International Inc,HRL
1247,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,11/18/2009,HS,Corporate,Honeywell International Inc,HRL
