id,rating_agency_name,file_creating_date,issued_paid,rating,rating_action_date,rating_action_class,obligor_sec_category,obligor_name,Ticker
959,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,10/31/2011,UP,Corporate,AutoNation Inc,AN
960,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB+,6/15/2010,HS,Corporate,AutoNation Inc,AN
961,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,2/3/2017,UP,Corporate,AutoZone Inc,AZO
962,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,7/28/2010,HS,Corporate,AutoZone Inc,AZO
966,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,6/24/2015,WO,Corporate,Avery Dennison Corp,AVY
967,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,7/23/2010,UP,Corporate,Avery Dennison Corp,AVY
968,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,11/18/2009,HS,Corporate,Avery Dennison Corp,AVY
969,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,1/12/2016,WO,Corporate,Avnet Inc,AVT
970,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,3/29/2010,HS,Corporate,Avnet Inc,AVT
971,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,7/13/2015,WO,Corporate,Avon Products Inc,AVP
972,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,12/21/2012,DG,Corporate,Avon Products Inc,AVP
973,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,12/6/2011,DG,Corporate,Avon Products Inc,AVP
974,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,5/10/2010,HS,Corporate,Avon Products Inc,AVP
986,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,9/16/2014,WO,Corporate,Cleveland-Cliffs Inc,CLX
987,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB+,3/15/2013,DG,Corporate,Cleveland-Cliffs Inc,CLX
988,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,5/10/2011,DG,Corporate,Cleveland-Cliffs Inc,CLX
989,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,6/11/2010,HS,Corporate,Cleveland-Cliffs Inc,CLX
990,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,12/6/2017,UP,Corporate,Clorox Co,CLD
991,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,5/13/2010,HS,Corporate,Clorox Co,CLD
1001,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,10/29/2013,WO,Corporate,Coca-Cola European Partners PLC,CL
1002,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,1/19/2010,HS,Corporate,Coca-Cola European Partners PLC,CL
1005,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,7/18/2018,DG,Corporate,Comcast Corp,CMA
1006,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,9/10/2012,UP,Corporate,Comcast Corp,CMA
1007,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,11/18/2009,HS,Corporate,Comcast Corp,CMA
1010,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,9/9/2015,WO,Corporate,Ambev SA,ABEV
1011,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,5/31/2011,HS,Corporate,Ambev SA,ABEV
1025,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,12/24/2015,WO,Corporate,DXC Technology Co,DYN
1026,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,12/14/2011,DG,Corporate,DXC Technology Co,DYN
1027,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,6/6/2011,DG,Corporate,DXC Technology Co,DYN
1028,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,5/28/2010,HS,Corporate,DXC Technology Co,DYN
1029,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/25/2018,WO,Corporate,Conagra Brands Inc,CXO
1030,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,2/13/2017,UP,Corporate,Conagra Brands Inc,CXO
1031,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,8/21/2013,DG,Corporate,Conagra Brands Inc,CXO
1032,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,1/11/2010,HS,Corporate,Conagra Brands Inc,CXO
1033,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,4/24/2018,UP,Corporate,ConocoPhillips,ED
1034,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,2/17/2016,DG,Corporate,ConocoPhillips,ED
1035,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,11/18/2009,HS,Corporate,ConocoPhillips,ED
1041,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,12/22/2014,WO,Corporate,Consolidated Edison Inc,STZ
1042,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,9/1/2010,HS,Corporate,Consolidated Edison Inc,STZ
1043,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,10/24/2018,UP,Corporate,Constellation Brands Inc,CLR
1044,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,10/13/2016,UP,Corporate,Constellation Brands Inc,CLR
1045,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB,4/8/2010,HS,Corporate,Constellation Brands Inc,CLR
1050,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,8/27/2015,WO,Corporate,Cameron International Corp,CPB
1051,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,8/26/2010,HS,Corporate,Cameron International Corp,CPB
1057,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,10/29/2013,WO,Corporate,Copano Energy LLC,GLW
1058,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB-,9/23/2010,HS,Corporate,Copano Energy LLC,GLW
1059,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/18/2018,WO,Corporate,Corning Inc,COST
1060,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,9/30/2010,HS,Corporate,Corning Inc,COST
1061,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,3/26/2013,WO,Corporate,Corporate Office Properties Trust,CVA
1062,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB,6/20/2011,HS,Corporate,Corporate Office Properties Trust,CVA
1071,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,1/4/2019,WO,Corporate,Crown Castle International Corp,CCK
1072,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,3/7/2010,HS,Corporate,Crown Castle International Corp,CCK
1073,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,6/24/2015,WO,Corporate,Crown Holdings Inc,CSGS
1074,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB-,9/1/2010,HS,Corporate,Crown Holdings Inc,CSGS
1075,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/31/2013,WO,Corporate,CSG Systems International Inc,CSX
1076,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,6/28/2010,HS,Corporate,CSG Systems International Inc,CSX
1077,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,6/22/2010,UP,Corporate,CSX Corp,CBST
1078,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,11/18/2009,HS,Corporate,CSX Corp,CBST
1079,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,12/8/2014,WO,Corporate,Cubist Pharmaceuticals Inc,CFR
1080,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,5/10/2010,HS,Corporate,Cubist Pharmaceuticals Inc,CFR
1081,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,6/1/2018,WO,Corporate,Cummins Inc,CVS
1082,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,1/9/2015,UP,Corporate,Cummins Inc,CVS
1083,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,10/16/2013,UP,Corporate,Cummins Inc,CVS
1084,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,6/25/2010,HS,Corporate,Cummins Inc,CVS
1089,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,6/1/2018,WO,Corporate,D.R. Horton Inc,DHR
1090,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,7/17/2016,UP,Corporate,D.R. Horton Inc,DHR
1091,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB+,5/24/2010,HS,Corporate,D.R. Horton Inc,DHR
1102,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/25/2018,WO,Corporate,DaVita Inc,DCT
1103,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB+,4/13/2016,UP,Corporate,DaVita Inc,DCT
1104,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB,10/14/2010,HS,Corporate,DaVita Inc,DCT
1105,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,10/29/2013,WO,Corporate,DCP Midstream LP,DF
1106,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,9/23/2010,HS,Corporate,DCP Midstream LP,DF
1110,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,4/26/2010,HS,Corporate,Deere & Co,DAL
1113,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,8/8/2013,WO,Corporate,Delta Air Lines Inc,DB
1114,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,B-,3/14/2011,DG,Corporate,Delta Air Lines Inc,DB
1115,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,B,4/26/2010,HS,Corporate,Delta Air Lines Inc,DB
1118,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,9/18/2015,WO,Corporate,Deutsche Telekom AG,DEO
1119,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,8/5/2010,HS,Corporate,Deutsche Telekom AG,DEO
1120,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,3/20/2017,WO,Corporate,Devon Energy Corp,DO
1121,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,4/9/2015,DG,Corporate,Devon Energy Corp,DO
1122,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,11/18/2009,HS,Corporate,Devon Energy Corp,DO
1123,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,12/19/2018,WO,Corporate,Diageo PLC,DRH
1124,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,4/8/2010,HS,Corporate,Diageo PLC,DRH
1125,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,7/27/2015,WO,Corporate,Diamond Offshore Drilling Inc,DTV
1126,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,4/4/2011,DG,Corporate,Diamond Offshore Drilling Inc,DTV
1127,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,3/19/2010,HS,Corporate,Diamond Offshore Drilling Inc,DTV
1132,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,3/23/2018,DG,Corporate,Discovery Inc,DG
1133,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,11/15/2012,DG,Corporate,Discovery Inc,DG
1134,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,7/16/2010,HS,Corporate,Discovery Inc,DG
1135,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,6/1/2018,WO,Corporate,Dollar General Corp,DOV
1136,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,12/28/2016,UP,Corporate,Dollar General Corp,DOV
1137,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB-,2/21/2013,UP,Corporate,Dollar General Corp,DOV
1138,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB+,6/11/2010,HS,Corporate,Dollar General Corp,DOV
1147,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/4/2012,WO,Corporate,DPL Inc,DST
1148,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,9/16/2010,HS,Corporate,DPL Inc,DST
1149,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/31/2013,WO,Corporate,DST Systems Inc,DTE
1150,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,6/2/2010,HS,Corporate,DST Systems Inc,DTE
1151,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,12/22/2014,WO,Corporate,DTE Energy Co,DUK
1152,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,9/1/2010,HS,Corporate,DTE Energy Co,DUK
1153,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,12/22/2014,WO,Corporate,Duke Energy Corp,DRE
1154,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,9/1/2010,HS,Corporate,Duke Energy Corp,DRE
